SuperClass,Class,SubClass,Metabolite,A1_Control,A1_Context,A2_Control,A2_Context,B1_Control,B1_Context,B2_Control,B2_Context,C1_Control,C1_Context,C2_Control,C2_Context,D1_Control,D1_Context,D2_Control,D2_Context,E1_Control,E1_Context,E2_Control,E2_Context,F1_Control,F1_Context,F2_Control,F2_Context,G1_Control,G1_Context,H1_Control,H1_Context,H25361_Control,H25361_Context,H25362_Control,H25362_Context,H25363_Control,H25363_Context,H25364_Control,H25364_Context,H25365_Control,H25365_Context
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Valine,87561.17632,1337416.242,34529.78528,8330.009392,9482.343152,432420.0383,31675.54894,30190.12102,611701.4944,198303.9829,9995.183003,575647.513,35871.62068,706599.6221,4533823.619,3663254.745,13943.96969,35423.11381,1547595.257,15554.30411,395.5790365,4258.352295,527985.9489,126142.6059,1244.858281,258.6902341,36566.59056,13697.05921,8592.238968,4011.740017,44803.53613,10032.34256,74204.33221,61875.67897,411867.0822,9855.151187,19865.5405,2159.156071
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Threonine,5387696.263,2195743.001,4285082.159,205400.2516,4770785.227,3766456.093,5264077.156,5372787.836,1543669.893,5206573.594,7881094.939,1253991.511,6619876.501,4921744.024,20608500.87,4823727.692,7269564.326,1827023.119,7325885.572,2084056.907,1087709.92,4600942.461,7601871.833,1187894.511,404541.1169,503060.1799,7415262.87,3016273.462,6494711.799,2860000.106,5977709.505,4571183.443,5412342.228,4844194.188,5460623.353,4517188.832,4334025.674,3153102.915
Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Isocitric_acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25477.06532,38838.14979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Gamma_Aminobutyric_Acid,0.1264442433,27085.42768,93848.86057,8958.809681,14420547.29,21835696.09,271.6251212,625.4557868,1251.442252,49987.11023,35612440.42,185559.2778,7667.851878,6968.069436,20117930.04,12498200.15,22859254,725939.8688,7089511.67,6066.05773,666865.591,22109.81979,54727551.33,1527.152812,32360.26649,0,19426952.67,267802.3268,23117224.14,12619816.32,29277935.02,42032028.53,9677.680455,11001.47606,44213568.83,216291.7817,5992.886527,1257495.419
Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Malonic_acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.92794226,34.56723309,0,0,0,0,0,0,0,0,0,0,0,0
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Isoleucine,3021.391903,1607.136788,599283.1705,5578.617575,990621.3779,15228.37086,2619.100431,128.6562228,3498.283688,121885.5224,1254704.375,75089.04418,129372.1342,5425.498918,934246.5509,2595360.627,186999.0398,84189.97517,201610.7309,50821.43767,1267506.197,930533.7157,591137.1727,3840207.431,9202.180865,35790.09127,455429.3385,4011.244433,498393.5052,21480.37716,1547211.215,9743684.94,16522.00592,5687.286764,960108.1545,5840605.759,5975279.105,52774.95461
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Cystine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01711551788,0.01976876176,0,0,0,0,0,0,0,0,0,0,0,0
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Betaine,5036.415142,6420.31544,666422.9831,0,444.1553312,26.99279766,6414.707068,12166.34283,126.2043251,2290.540115,0,0,60474.19959,198881.6271,0,0,0,0,0,0,0,0,0,0,1.185612219,361.2286051,4158.658864,55.81592895,0,0,159.8746547,176.4966739,125628.5141,121716.6835,4265.894599,46.43452328,1724.462271,1.19E+03
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",D_Serine,4680.316613,0,1108.810645,0,459.0888999,649.3018892,979.271634,0,0,32.67417131,22.20897518,0,0,0,0,1093.158888,25974.31798,2250.457753,7771.93293,523.017717,0,0,0,1603.137582,0,0,3348.016309,0,29703.4829,67218.54147,1413.404076,0,2627.174991,16747.27229,204252.089,1882.693456,15712.7414,0
Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Uracil,175135.2445,130812.1247,98339.69182,1517.59274,56338.7159,26123.79081,77014.44291,139636.8832,8884.247048,58656.59872,207110.9657,11562.16115,375371.9331,447312.9792,277890.4986,173143.2371,185136.7586,11108.33356,189728.3088,58890.97789,5616.782521,3723.513735,185834.0501,9022.58414,396552.1634,1035.411072,71669.09998,65973.78302,114642.1214,61280.02399,360203.8663,475753.1144,1218665.798,779882.3824,57525.55659,494129.6063,440196.0462,55225.90762
