Metabolites,A1_Control,A1_Context,A2_Control,A2_Context,B1_Control,B1_Context,B2_Control,B2_Context,C1_Control,C1_Context,C2_Control,C2_Context,D1_Control,D1_Context,D2_Control,D2_Context,E1_Control,E1_Context,E2_Control,E2_Context,F1_Control,F1_Context,F2_Control,F2_Context,G1_Control,G1_Context,H1_Control,H1_Context,H25361_Control,H25361_Context,H25362_Control,H25362_Context,H25363_Control,H25363_Context,H25364_Control,H25364_Context,H25365_Control,H25365_Context
Hydrogen_Ion,56674.76286,8664.65763,92.26470621,1.073656697,371885.1752,60863.13933,84294.9446,31405.9048,164687.9699,215421.0185,120375.0595,135728.4217,80507.77085,49554.53428,143947.1411,123495.3139,55898.07943,70355.48529,70592.81989,134692.7021,78051.77258,220063.9021,30756.42137,31617.86095,141753.1785,4350.580164,183470.9228,91155.99978,202923.0154,125684.8401,89565.6419,1734.610937,94022.49878,92597.18337,114794.6244,46384.20054,42882.82666,265945.3458
L_Tyrosine,20.69963621,8.669216895,80176.28482,269056.871,12.56525278,7.471607138,9.251948004,1396.507603,5.971793388,6.202944664,23.53073429,36.78492369,53.63513136,63.9411974,17.46624372,7.282274456,26.16587083,21.45641921,51.03635194,11.45070042,74.99725851,11.97436643,11.93464728,4.773180143,11.62653536,2.611995529,38.01927864,41.0255278,14.01918863,23.04434923,38.90043229,16.85498871,98.88947473,3.945528974,55.91264794,11.02410771,40.66617608,418.7833751
Acetaldehyde,5416.294231,68.49216663,36.76098462,5.217344801,277.0163085,44.91785432,89.09844962,76.22255307,65.38851466,100.8469406,7139.607407,712.7338392,183.5104815,183.510482,206.3214347,1248.881561,3519.167359,85.75292695,438.3841188,1274.303896,4144.395799,47.97471931,168.8340742,16.24415972,163.6359474,27.08434094,158.0972135,26.9333108,945.9152919,18.21079073,188.9578106,874.6316707,183.5104724,183.510464,1244.301976,21.74803495,8.666436426,82.93642801
Urea,26173.63104,7840.623808,1232.899728,1.155330563,117.1435211,383.112079,20925.50112,29949.13683,6194.33448,7297.200388,2891.054272,961.4815862,75589.09779,76090.7577,4381.37307,234.245379,2569.541117,6301.936728,1755.653487,11504.63974,1.435723711,388.059539,225.0785564,1133.839621,157.232569,28.18693391,856.2420941,422.9069637,7008.081776,7093.60087,415.0417805,752.8818044,4295.494903,53510.51613,15201.66132,1134.514737,347.7706188,4455.169459
Sucrose,0.00274180748,0.002772937265,4975.825511,227.6251382,58.31585395,60.61347693,0.002443236351,16286.22947,8.36048955,15.3879701,199.1911366,127.644873,0.002084756931,0.002035548662,106.2705762,106.1632595,140.2000644,20.12837462,181.6465245,176.4747824,20.19137254,34.50364898,143.8541509,15.26707325,0.000691350097,0.001058232318,67.15983018,36.58953785,129.7712519,67.26944861,170.8775712,25.4817544,47.57941958,47.5853243,182.2030259,28.3991811,27.22833068,36.03435969
Glycerol_3_Phosphate,0.07938254036,0.2082534679,143.4320192,73.88685571,0.7686951283,4.512719364,0,0,0.6212839539,1106.153645,3.057150957,0,0,0,0.06484445927,0.2615520908,10.38643392,9.770243089,0,0,0,0.3904766595,0.06264825642,0,0,0,0.7683847593,0,200.0381695,0.3721190679,13.37188696,0,0,0,9.455139267,0,2.603165402,4.270033728
Sulfite,19.44138266,0.1868982718,0.5261756152,0,0.1667794023,1.636323283,336.8553381,231.5175041,0,0,0,0,0.9040039675,7.004604584,0,0,0,0,0,0,0,0,0,0,287.5492124,0,8.183644697,0.5141947543,0,0,0,0,1724.046576,280.7364865,0.000719894718,6.059462293,0,0
D_Fructose,0.5809758326,36134.24687,136.4622,0.3652144548,26.41416717,17.44657513,62.80702327,32.31304628,17.25919078,4.311375833,3.641232096,0.1576001741,51.4926363,24.19623335,7.743375571,99.32552828,28.2136171,1.38136034,0.2683074441,0.06232922296,0.004795472567,1.737019724,23.17402253,0.5799282009,17.70580819,16.13804556,26.91744666,14.43368257,79.44015795,1.477859697,8.163764182,2.996994305,1.090832367,24.29554653,14.07879659,3.220357311,0.3009944282,0
L_Cysteine,109050.514,81784.66912,102002.7619,8127.900414,63561.21616,53391.92031,185685.482,124705.4667,83828.69379,123213.6641,119690.2537,50164.79874,133302.8618,143131.8585,101801.9412,79480.03707,132518.4133,56762.12312,154490.1972,37545.73457,39682.58505,24895.89825,124345.423,15197.06684,10562.04914,11600.41868,126737.8429,68746.30668,101780.9772,40106.68371,136409.8334,33197.09079,111028.5389,128703.3019,131844.1455,28891.01614,33001.65976,87592.25656
Uracil,106.7483822,79.73256735,64.47244704,0.9186784715,26.5158392,13.21620968,70.21493841,87.40517307,4.875357185,40.18589388,128.1052766,6.898812162,210.4873576,251.2465003,57.83019681,102.6416625,114.2863,6.742026062,147.8224075,31.13318917,3.611306332,2.115790978,109.7110842,5.257000832,239.4191346,0.5734517439,40.99814421,42.33516594,79.41751203,41.6190121,219.0575854,356.5985204,631.2556246,402.3474922,37.99981865,385.5961199,343.508836,38.26153554
