Metabolite	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
glygln[c]	0	0	0	0.019657308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glygln[u]	0	0	0	0.019657308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyglu[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyglu[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyleu[c]	0	0	0	0.211375014	0	0	27.31691194	0	0	0	0	0	0	0	0	0	0	0	0
glyleu[u]	0	0	0	0.211375014	0	0	27.31691194	0	0	0	0	0	0	0	0	0	0	0	0
glymet[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glymet[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyphe[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyphe[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glypro[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glypro[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glytyr[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glytyr[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gmp[c]	0	0	0	0.106418497	0	0	0.041784001	0	0	0	0	0	0	0	0	0	0	0	0
grdp[c]	0	0	0	0.044560972	0	0	0.017496354	0	0	0	0	0	0	0	0	0	0	0	0
gsn[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gtp[c]	0	0	0	0.190553616	0	0	0.074818691	0	0	0	0	0	0	0	0	0	0	0	0
gua[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h2o2[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h2o[c]	0	0	0	473.5645054	0	0	59.63634723	0	0	0	0	0	0	0	0	0	0	0	0
h2o[u]	0	0	0	90.69729727	0	0	62.80707519	0	0	0	0	0	0	0	0	0	0	0	0
h[c]	0	0	0	-74.20044042	0	0	-3.612693659	0	0	0	0	0	0	0	0	0	0	0	0
h[u]	0	0	0	-279.0583741	0	0	-37.19104505	0	0	0	0	0	0	0	0	0	0	0	0
hco3[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hdeACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hexACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hg2[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hg2[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
his_L[c]	0	0	0	0.218616726	0	0	0.085837349	0	0	0	0	0	0	0	0	0	0	0	0
his_L[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hmgcoa[c]	0	0	0	-0.490170688	0	0	-0.192459896	0	0	0	0	0	0	0	0	0	0	0	0
hpyr[c]	0	0	0	0	0	0	1.14E-13	0	0	0	0	0	0	0	0	0	0	0	0
hqn[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hxan[c]	0	0	0	0.212859641	0	0	0.083576895	0	0	0	0	0	0	0	0	0	0	0	0
hxan[u]	0	0	0	0.212859641	0	0	0.083576895	0	0	0	0	0	0	0	0	0	0	0	0
hxcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i14tca1[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i14tcaacgam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i14tcaala_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i14tcaglc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i15tca1[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i15tcaacgam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i15tcaala_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i15tcaglc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i16tca1[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i16tcaacgam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i16tcaala_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i16tcaglc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i17tca1[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i17tcaacgam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i17tcaala_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i17tcaglc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ibcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
idp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ihdcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ihpdcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ile_L[c]	0	0	0	0.309008144	0	0	0.121328501	0	0	0	0	0	0	0	0	0	0	0	0
ile_L[u]	0	0	0	0.136151029	0	0	0.053458139	0	0	0	0	0	0	0	0	0	0	0	0
imp[c]	0	0	0	0.212859641	0	0	0.083576895	0	0	0	0	0	0	0	0	0	0	0	0
ins[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ipdcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ipdp[c]	0	0	0	0.334207287	0	0	0.131222656	0	0	0	0	0	0	0	0	0	0	0	0
iscsh[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iscssh[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isomal[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itdcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ivcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k[c]	0	0	0	0.242814168	0	0	0.095338197	0	0	0	0	0	0	0	0	0	0	0	0
k[u]	0	0	0	0.003763079	0	0	0.00147753	0	0	0	0	0	0	0	0	0	0	0	0
l2a6o[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lac_D[c]	0	0	0	-0.017319201	0	0	75.55019495	0	0	0	0	0	0	0	0	0	0	0	0
lac_D[u]	0	0	0	-0.017319201	0	0	75.55019495	0	0	0	0	0	0	0	0	0	0	0	0
lac_L[c]	0	0	0	-192.6396622	0	0	-75.67954556	0	0	0	0	0	0	0	0	0	0	0	0
lac_L[u]	0	0	0	-192.6396622	0	0	-75.67954556	0	0	0	0	0	0	0	0	0	0	0	0
leu_L[c]	0	0	0	0.346620136	0	0	0.136096419	0	0	0	0	0	0	0	0	0	0	0	0
leu_L[u]	0	0	0	2.84E-14	0	0	-27.23391796	0	0	0	0	0	0	0	0	0	0	0	0
lpam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lys_L[c]	0	0	0	0.321295708	0	0	0.126153072	0	0	0	0	0	0	0	0	0	0	0	0
lys_L[u]	0	0	0	0.160726157	0	0	0.063107281	0	0	0	0	0	0	0	0	0	0	0	0
malACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mal_L[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
malcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
malt6p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
malt[c]	0	0	0	0	0	0	0.034529776	0	0	0	0	0	0	0	0	0	0	0	0
malt[u]	0	0	0	0	0	0	0.034529776	0	0	0	0	0	0	0	0	0	0	0	0
malthp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
malthx[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
malthx[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
maltpt[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
malttr[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
malttr[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
maltttr[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
man1p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
man6p[c]	0	0	0	75.93970046	0	0	0.146846963	0	0	0	0	0	0	0	0	0	0	0	0
man[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
man[u]	0	0	0	75.93970046	0	0	0.146846963	0	0	0	0	0	0	0	0	0	0	0	0
melib[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
met_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
met_D[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
met_L[c]	0	0	0	0.280676587	0	0	0.110204441	0	0	0	0	0	0	0	0	0	0	0	0
met_L[u]	0	0	0	0	0	0	0.029732488	0	0	0	0	0	0	0	0	0	0	0	0
metala[c]	0	0	0	0.075724836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metala[u]	0	0	0	0.075724836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methf[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metsox_R_L[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metsox_R_L[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metsox_S_L[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metsox_S_L[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mev_R[c]	0	0	0	1.50E-15	0	0	-3.16E-14	0	0	0	0	0	0	0	0	0	0	0	0
mg2[c]	0	0	0	0.242814168	0	0	0.095338197	0	0	0	0	0	0	0	0	0	0	0	0
mg2[u]	0	0	0	0.003763079	0	0	0.00147753	0	0	0	0	0	0	0	0	0	0	0	0
mlthf[c]	0	0	0	0.005660471	0	0	0.002222519	0	0	0	0	0	0	0	0	0	0	0	0
mn2[c]	0	0	0	0.242814168	0	0	0.095338197	0	0	0	0	0	0	0	0	0	0	0	0
mn2[u]	0	0	0	0.003763079	0	0	0.00147753	0	0	0	0	0	0	0	0	0	0	0	0
mnl1p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mql8[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mqn8[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
myrsACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
myrstca1[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
myrstcaacgam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
myrstcaala_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
myrstcaglc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n6all26d[c]	0	0	0	5.18E-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
na1[c]	0	0	0	192.7461034	0	0	48.4456276	0	0	0	0	0	0	0	0	0	0	0	0
na1[u]	0	0	0	192.7461034	0	0	48.4456276	0	0	0	0	0	0	0	0	0	0	0	0
nac[c]	0	0	0	0.007526157	0	0	0.002955059	0	0	0	0	0	0	0	0	0	0	0	0
nac[u]	0	0	0	0.007526157	0	0	0.002955059	0	0	0	0	0	0	0	0	0	0	0	0
nad[c]	0	0	0	-150.0699289	0	0	75.83565054	0	0	0	0	0	0	0	0	0	0	0	0
nadh[c]	0	0	0	-150.3165061	0	0	75.73883481	0	0	0	0	0	0	0	0	0	0	0	0
nadp[c]	0	0	0	150.9218299	0	0	-75.45936847	0	0	0	0	0	0	0	0	0	0	0	0
nadph[c]	0	0	0	150.6790158	0	0	-75.55470666	0	0	0	0	0	0	0	0	0	0	0	0
nh4[c]	0	0	0	0.299164986	0	0	0.117463698	0	0	0	0	0	0	0	0	0	0	0	0
nh4[u]	0	0	0	0.293504514	0	0	0.115241179	0	0	0	0	0	0	0	0	0	0	0	0
nicrnt[c]	0	0	0	0.007526157	0	0	0.002955059	0	0	0	0	0	0	0	0	0	0	0	0
o2[c]	0	0	0	0	0	0	0.000369382	0	0	0	0	0	0	0	0	0	0	0	0
o2[u]	0	0	0	0	0	0	0.000369382	0	0	0	0	0	0	0	0	0	0	0	0
oaa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ocACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
occoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ocdcaACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
octeACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
orn[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
orot5p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
orot[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxalc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pa120[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pa140[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pa141[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pa160[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pa161[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pa180[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pa181[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paai15[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paai17[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pai14[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pai15[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pai16[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pai17[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
palmACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
palmtca1[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
palmtcaacgam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
palmtcaala_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
palmtcaglc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pan4p[c]	0	0	0	0.007526157	0	0	0.002955059	0	0	0	0	0	0	0	0	0	0	0	0
pap[c]	0	0	0	0.003763079	0	0	0.00147753	0	0	0	0	0	0	0	0	0	0	0	0
pb[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pb[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pep[c]	0	0	0	192.7461034	0	0	0.164343317	0	0	0	0	0	0	0	0	0	0	0	0
pg140[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pg160[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pg180[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgai15[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgai17[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgi14[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgi15[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgi16[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgi17[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgp120[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgp140[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgp141[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgp160[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgp161[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgp180[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgp181[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgpai15[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgpai17[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgpi14[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgpi15[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgpi16[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgpi17[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phe_L[c]	0	0	0	0.284435425	0	0	0.111680305	0	0	0	0	0	0	0	0	0	0	0	0
phe_L[u]	0	0	0	0.087005591	0	0	0.034161747	0	0	0	0	0	0	0	0	0	0	0	0
pi[c]	0	0	0	207.5642842	0	0	33.33055369	0	0	0	0	0	0	0	0	0	0	0	0
pi[u]	0	0	0	0	0	0	0.068872057	0	0	0	0	0	0	0	0	0	0	0	0
pmtcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pnto_R[c]	0	0	0	0.007526157	0	0	0.002955059	0	0	0	0	0	0	0	0	0	0	0	0
pnto_R[u]	0	0	0	0.007526157	0	0	0.002955059	0	0	0	0	0	0	0	0	0	0	0	0
ppa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ppap[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ppcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ppi[c]	0	0	0	1.620235695	0	0	0.636166952	0	0	0	0	0	0	0	0	0	0	0	0
pppi[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pram[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prl45tca[c]	0	0	0	0.002610746	0	0	0.001025079	0	0	0	0	0	0	0	0	0	0	0	0
prl45tcaala[c]	0	0	0	0.000870249	0	0	0.000341693	0	0	0	0	0	0	0	0	0	0	0	0
prl45tcaglc[c]	0	0	0	0.000870249	0	0	0.000341693	0	0	0	0	0	0	0	0	0	0	0	0
pro_L[c]	0	0	0	0.292836746	0	0	0.114978988	0	0	0	0	0	0	0	0	0	0	0	0
pro_L[u]	0	0	0	0.103808233	0	0	0.040759111	0	0	0	0	0	0	0	0	0	0	0	0
proteinsynth[c]	0	0	0	0.481865258	0	0	0.189198864	0	0	0	0	0	0	0	0	0	0	0	0
prpp[c]	0	0	0	0.36188264	0	0	0.142089066	0	0	0	0	0	0	0	0	0	0	0	0
psd5p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ptrc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ptrc[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ptth[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pydx5p[c]	0	0	0	0.242814168	0	0	0.095338197	0	0	0	0	0	0	0	0	0	0	0	0
pydx[c]	0	0	0	0.003763079	0	0	0.00147753	0	0	0	0	0	0	0	0	0	0	0	0
pydx[u]	0	0	0	0.003763079	0	0	0.00147753	0	0	0	0	0	0	0	0	0	0	0	0
pyr[c]	0	0	0	0.044560972	0	0	0.017496354	0	0	0	0	0	0	0	0	0	0	0	0
q8[c]	0	0	0	0.106441144	0	0	0.041792894	0	0	0	0	0	0	0	0	0	0	0	0
q8h2[c]	0	0	0	0.106441144	0	0	0.041792894	0	0	0	0	0	0	0	0	0	0	0	0
r1p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r5p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
raffin[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rhcys[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rib_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ribflv[c]	0	0	0	0.246577247	0	0	0.096815726	0	0	0	0	0	0	0	0	0	0	0	0
ribflv[u]	0	0	0	0.007526157	0	0	0.002955059	0	0	0	0	0	0	0	0	0	0	0	0
rnatrans[c]	0	0	0	0.481865258	0	0	0.189198864	0	0	0	0	0	0	0	0	0	0	0	0
ru5p_D[c]	0	0	0	75.38981423	0	0	1.07E-14	0	0	0	0	0	0	0	0	0	0	0	0
ru5p_L[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s17bp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s7p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
salc6p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sbt6p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sbt_D[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ser_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ser_D[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ser_L[c]	0	0	0	0.297116673	0	0	0.116659452	0	0	0	0	0	0	0	0	0	0	0	0
ser_L[u]	0	0	0	0.106707616	0	0	0.041897521	0	0	0	0	0	0	0	0	0	0	0	0
so4[c]	0	0	0	0.242814168	0	0	0.095338197	0	0	0	0	0	0	0	0	0	0	0	0
so4[u]	0	0	0	0.003763079	0	0	0.00147753	0	0	0	0	0	0	0	0	0	0	0	0
spmd[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spmd[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sttca1[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sttcaacgam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sttcaala_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sttcaglc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
suc6p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
succ[c]	0	0	0	8.53E-14	0	0	1.49E-13	0	0	0	0	0	0	0	0	0	0	0	0
succ[u]	0	0	0	-0.106441144	0	0	-0.041792894	0	0	0	0	0	0	0	0	0	0	0	0
sucr[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sucr[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sucsal[c]	0	0	0	1.14E-13	0	0	1.14E-13	0	0	0	0	0	0	0	0	0	0	0	0
tag6p_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tagdp_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taur[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tcam[c]	0	0	0	0.241386787	0	0	0.094777752	0	0	0	0	0	0	0	0	0	0	0	0
tchola[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tdchola[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tdcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tddec2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tdeACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tdec2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
teich_45_BS[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thdp[c]	0	0	0	0.044560972	0	0	0.017496354	0	0	0	0	0	0	0	0	0	0	0	0
thex2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thf[c]	0	0	0	0.005660471	0	0	0.002222519	0	0	0	0	0	0	0	0	0	0	0	0
thfglu[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thissh[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thm[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thm[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thmpp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thr_L[c]	0	0	0	0.300358662	0	0	0.117932382	0	0	0	0	0	0	0	0	0	0	0	0
thr_L[u]	0	0	0	0.118852066	0	0	0.0466659	0	0	0	0	0	0	0	0	0	0	0	0
thymd[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tmrs2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
toct2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
toctd2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tpalm2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trdox[c]	0	0	0	0.022641885	0	0	0.008890076	0	0	0	0	0	0	0	0	0	0	0	0
trdrd[c]	0	0	0	0.022641885	0	0	0.008890076	0	0	0	0	0	0	0	0	0	0	0	0
tre[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnaglu[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
