Metabolite	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
4oh_dcf_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_dcf_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_dcf_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_kp[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_kp[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_kp[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_kp_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_kp_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_kp_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_levole[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_levole[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_levole[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_levole_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_levole_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_levole_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_meth[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_meth[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_meth[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_meth_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_meth_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_meth_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_propl[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_propl[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_propl[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_propl_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_propl_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_propl_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_trz[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_trz[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_trz[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_trz_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_trz_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_trz_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_vcz[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_vcz[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_vcz[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_vcz_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
